Retailer,Brand,Segment,Gender,Category,Product Types,Details,Normalized Color,Color Option Name,Activewear,Pattern,Full Price ($),SKUs Available,Season,Description,Care information,Sizes,Return-Risk Probability
Primark - non-transactional site (DE),Primark,Value,Women,Bottoms,"Shorts, Shorts > Other Shorts","Apparel, Fabrication, Lengths, Denim, Multi-Packs, Bottoms",Grey,Grey,Non-activewear,Plain,17.61,9/9,ss25,Denim shorts with cracks and frayed hem,Maximale Temperatur 30 °C; Nicht chemisch reinigen; Auf niedriger Stufe bügeln; Nicht bleichen; Nicht trocknergeeignet; Ähnliche Farben zusammen waschen,"44, 46, 48, 32, 42, 40, 38, 36, 34",
Primark - non-transactional site (DE),Primark,Value,Women,Bottoms,"Shorts, Shorts > Other Shorts","Apparel, Fabrication, Lengths, Denim, Multi-Packs, Bottoms",Blue,Light blue,Non-activewear,Stripes,17.61,9/9,ss25,Denim shorts with cracks and frayed hem,Maximale Temperatur 30 °C; Nicht chemisch reinigen; Auf niedriger Stufe bügeln; Nicht bleichen; Nicht trocknergeeignet; Ähnliche Farben zusammen waschen,"42, 32, 38, 48, 46, 40, 36, 34, 44",
Primark - non-transactional site (IT),Primark,Value,Boys,Bottoms,"Shorts, Shorts > Other Shorts","Apparel, Fabrication, Lengths, Multi-Packs, Bottoms",Orange,Orange,Non-activewear,Checks,10.55,8/8,ss25,"Pokémon board shorts for little trainers' holidays
Gaming Pokémon Type Swimsuits and Covers: Pokémon Composition of the
warnings: Keep away from","non candeggiare; non lavare a secco; Temperatura massima 40 °C; Lavare prima del primo utilizzo; lavare con colori simili; lavare al rovescio; stirare a freddo; asciugare in asciugatrice a bassa temperatura
materiali: 100% poliestere Sicurezza","13-14Y, 11-12Y, 10-11Y, 8-9Y, 14-15Y, 7-8Y, 9-10Y, 12-13Y",
Primark - non-transactional site (IT),Primark,Value,Men,Tops,T-Shirts,"Short Sleeve, Apparel, Fits, Sleeves, Fabrication, Tops, Round Neck, Multi-Packs",Neutral,Ecru,Non-activewear,Graphics,16.41,7/7,ss25,"Get into grunge mode with this Nirvana T-shirt! 
Sweaters and tanks Music Nirvana Type: NIRVANA
Neck: Crew-neck
Wearability: Regular Length
Sleeve: Short sleeves Composition of the
warnings: Keep away from","non candeggiare; non lavare a secco; non asciugare in asciugatrice; Temperatura massima 40 °C; stirare al rovescio; lavare insieme colori simili; Stirare a freddo; lavare al rovescio
materiali: 100% cotone Sicurezza","XS, XXL, L, XXXL, M, XL, S",
Primark - non-transactional site (IT),Primark,Value,Women,Tops,Cardigans,"Round Neck, Apparel, Fits, Sleeves, Fabrication, Tops, Multi-Packs",Black,Black,Non-activewear,Plain,11.74,6/6,ss25,"A crew neck cardigan with buttons for a sophisticated interpretation of casual style
Neckline sweater: Wide Length
Sleeve: Full length Dimensions of the
Template: S-10/12
Reason: Solid color Composition of the
warnings: Keep away from","Non candeggiare; non lavare a secco; non asciugare in asciugatrice; temperatura massima 30 °C; lavare al rovescio; stirare a freddo; stirare al rovescio
materiali: 78% poliestere, 12% viscosa, 10% lana Sicurezza","42/44, 36/38, 46/48, 38/40, 44/46, 50/52",
Primark - non-transactional site (IT),Primark,Value,Women,Outerwear,"Jackets > Other Jackets, Jackets","Waterproof, Outerwear, Apparel, Sleeves, Fabrication, Multi-Packs",Neutral,Stone,Non-activewear,Plain,32.87,5/5,ss25,"A squared waterproof with buttons and belted sleeves
Coats and jackets Sleeve length: Full length Dimensions of the
Template: S
Reason: Solid color Composition of the
Lining: 100%","non lavare a secco; Non asciugare in asciugatrice; non candeggiare; stirare a freddo; temperatura massima 30 °C; lavare con colori simili
Chiusura: bottone Senza cappuccio
ESTERNO: 100% poliestere,","XL, M, S, L, XS",
Primark - non-transactional site (IT),Primark,Value,Women,Bottoms,"Jeans, Jeans > Slim","Apparel, Fabrication, Lengths, Denim, Multi-Packs, Bottoms",Blue,Medium blue,Non-activewear,Plain,25.91,7/7,ss25,"Jeans with snap buttons, zip and internal zip puller at the waist
to know more
. 
We have created a guide to make you better understand the fibers of our products and some key terms related to our ambitions in this aim. 
here
For more information on Primark Cares click
The Primark Cares strategy represents our commitment to doing the best, every day, making more sustainable products than everyone can allow, reducing our environmental impact on the planet and offering the right wage for the people who make our clothes. 
Jeans Fit: REGULAR
Length: Full length Dimensions of the
Template: M-12/14 Composition of the
warnings: Keep away from","non lavare a secco; non asciugare in asciugatrice; Stirare a freddo; non candeggiare; temperatura massima 30 °C; lavare al rovescio; lavare con colori simili; evitare il contatto con capi chiari poiché il colore potrebbe trasferirsi; rimodellare quando il capo è ancora umido; stendere per asciugare
Prodotto realizzato con almeno il 20% di cotone riciclato Recover™ e cotone proveniente dal Primark Cotton Project
materiali: 99% cotone, 1% elastane Sicurezza","50, 44, 48, 52, 42, 40, 46",
Primark - non-transactional site (IT),Primark,Value,Women,Bottoms,"Jeans, Jeans > Slim","Apparel, Fabrication, Lengths, Denim, Multi-Packs, Bottoms",Blue,Medium blue,Non-activewear,Plain,25.91,7/7,ss25,"Denim jeans with press studs, openings for access to the tube and pockets
to know more
. 
We have created a guide to make you better understand the fibers of our products and some key terms related to our ambitions in this aim. 
Jeans Fit: REGULAR
Length: Full length Dimensions of the
Template: S-8/10 Composition of the
warnings: Keep away from
here
For more information on Primark Cares click
The Primark Cares strategy represents our commitment to doing the best, every day, making more sustainable products than everyone can allow, reducing our environmental impact on the planet and offering the right wage for the people who make our clothes. ","temperatura massima 30 °C; non lavare a secco; non asciugare in asciugatrice; Stirare a freddo; non candeggiare; lavare al rovescio; lavare con colori simili; evitare il contatto con capi chiari poiché il colore potrebbe trasferirsi; rimodellare quando il capo è ancora umido; stendere per asciugare
Prodotto realizzato con almeno il 20% di cotone riciclato Recover™ e cotone proveniente dal Primark Cotton Project
materiali: 99% cotone, 1% elastane Sicurezza","44, 42, 46, 40, 48, 52, 50",
Primark - non-transactional site (IT),Primark,Value,Women,Outerwear,"Jackets > Other Jackets, Jackets","Sleeveless, Outerwear, Apparel, Sleeves, Fabrication, Multi-Packs",Black,Black,Non-activewear,Plain,16.44,5/5,ss25,"Classic and light sleeveless with zip on the front and high collar
Coats and jackets Sleeve length: Sleeveless Dimensions of the
Template: S
Closing: Hoodless zip Rain resistant composition of the
warnings: Keep away from","non lavare a secco; stirare a freddo; Non candeggiare; temperatura massima 30 °C; asciugare in asciugatrice a bassa temperatura; lavare con colori simili
RIVESTIMENTO: 100% nylon,
FODERA: 100% poliestere,
IMBOTTITURA: 100% poliestere Sicurezza","S, M, XL, XS, L",
Primark - non-transactional site (IT),Primark,Value,Boys,Tops,T-Shirts,"Short Sleeve, Apparel, Fits, Sleeves, Fabrication, Tops, Round Neck, Multi-Packs",Grey,Grey marl,Non-activewear,Graphics,4.69,7/7,ss25,"Short-sleeved T-shirt with Rolling Stones print on the chest
Sweaters and tanks Music The Rolling Stones Type: The Rolling Stones
Neck: Crew-neck
Wearability: Regular Length
Sleeve: Short sleeves
Reason: Composition of the
warnings: Keep away from","Stirare a freddo; non candeggiare; non lavare a secco; non asciugare in asciugatrice; stirare al rovescio; Temperatura massima 40 °C; lavare prima del primo utilizzo; lavare con colori simili
materiali: 100% cotone Sicurezza","5-6Y, 6-7Y, 3-4Y, 7-8Y, 1.5-2Y, 2-3Y, 4-5Y",
